date,store,user,revenue,weekday,external_id
2026-09-16,Forest,根本祐美,4900,水,o_IGbDmaHiRCq1PeI6BLe0pg
2026-09-13,Forest,斉藤麻希,4900,日,o_Z4RXPbnpSmKy1UnmdkRTyg
2026-09-13,Forest,斉藤麻希,14700,日,o_OZ4Myo3hQLycMUYS50lj_Q
2026-09-12,Forest,斉藤麻希,4900,土,o_XWyLPnRZSMqp1VssXBTd6A
2026-09-12,Forest,斉藤麻希,14700,土,o_ShWtfBlqRtGJ_5RVqb0u-g
2026-09-12,Forest,斉藤麻希,9800,土,o_SvYSw9saRPKZbOV4QIqKpQ
2026-09-12,Forest,斉藤麻希,9800,土,o_Hpz1WeoZRne96J4M2W7r4Q
2026-09-12,Forest,三上ひろみ,4900,土,o_R8rlTrvqR6q31LcG5YE4Sw
2026-09-10,Bellezza,宮山佐和子,9800,木,o_MjRJfysCQZuynluQEWPzwA
2026-09-10,Forest,佐久間順子,4900,木,o_z9bXnshzSVmCbS-MzvO9DA
2026-09-08,Bellezza,平野恵,4900,火,o_ELNFsR6uSXysYUw-GA-iaQ
2026-09-07,Asteria,硯川紗千子,4900,月,o_u0xJCFkmT8aq4N_TuIQ4Iw
2026-09-06,Bellezza,坂下美紀,4900,日,o_-Y_GoXOgS4WeuuI-s8u0Kw
2026-09-04,Bellezza,坂下美紀,4900,金,o_NdpKNSW9TlCx_CZnXSFYZQ
2026-09-04,Asteria,砂川美菜,9800,金,o_kIyWvHF3Tx2wqvfpfmVB1A
2026-09-04,Asteria,砂川美菜,9800,金,o_7IxSpsdGSZyRN_V9Eu8F7A
2026-09-03,Bellezza,HARUNATAKAGI,18400,木,o_wcLWtLApQGSKfuEe7ktSAg
2026-09-01,Asteria,硯川紗千子,4900,火,o_ZUGFLpc1Qz6HCb8Afj9pnQ
2026-09-01,Forest,斉藤麻希,4900,火,o__zg3BL9xQv2a8dz3MO7Y3A
